"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","53.620.000","3,94","-2,96%"
"B3SA3","B3","46.759.300","11,17","-2,79%"
"AMER3","Americanas","33.686.800","0,75","+2,74%"
"COGN3","Cogna","33.008.400","1,72","-4,97%"
"ABEV3","Ambev","30.204.400","11,67","-1,27%"
"MGLU3","Magazine Luiza","26.217.700","12,67","-5,87%"
"BBDC4","Banco Bradesco","22.685.000","12,56","-1,88%"
"PETR4","Petrobras","20.963.800","38,53","-0,18%"
"AZUL4","Azul","20.568.900","8,19","-7,87%"
"VALE3","Vale","20.447.500","61,17","-0,94%"
"ITSA4","Itaúsa","18.072.800","10,26","-0,97%"
"CVCB3","CVC","16.937.700","1,87","-4,59%"
"CMIG4","CEMIG","16.467.600","10,93","-2,24%"
"ITUB4","Itaú Unibanco","15.631.500","34,00","-0,47%"
"BRFS3","BRF","14.977.400","20,81","-7,88%"
"RAIZ4","Raízen","13.544.200","3,12","-1,89%"
"MRFG3","Marfrig","12.347.700","11,22","-9,08%"
"LREN3","Lojas Renner","12.107.100","13,16","-3,59%"
"USIM5","Usiminas","12.037.900","8,40","-1,75%"
"PCAR3","Grupo Pão de Açúcar","11.799.900","2,91","-5,52%"
"GOLL4","GOL","11.258.800","1,17","-3,31%"
"MRVE3","MRV","11.022.200","6,76","-3,29%"
"ASAI3","Assaí","10.930.700","10,41","-3,16%"
"BBAS3","Banco do Brasil","10.707.900","27,19","-0,44%"
"VAMO3","Grupo Vamos","10.055.600","8,77","-5,50%"
"RAIL3","Rumo","9.979.500","22,65","-0,40%"
"HBSA3","Hidrovias do Brasil","9.834.400","3,88","-1,52%"
"CRFB3","Carrefour Brasil","9.487.500","10,24","-4,66%"
"RENT3","Localiza","9.473.700","43,47","-3,68%"
"CPLE6","Copel","9.176.400","10,15","-1,36%"
"ELET3","Eletrobras","8.923.200","37,61","-2,51%"
"BEEF3","Minerva","8.736.700","6,59","-4,49%"
"CSAN3","Cosan","8.258.600","13,88","-2,94%"
"CYRE3","Cyrela","7.905.900","19,85","-4,06%"
"EQTL3","Equatorial Energia","7.615.200","32,80","-1,71%"
"LWSA3","Locaweb","7.533.900","4,45","-3,26%"
"WEGE3","WEG","7.308.400","47,40","+0,74%"
"IFCM3","Infracommerce","7.214.200","0,35","-5,41%"
"PETR3","Petrobras","7.056.400","41,60","+0,12%"
"GGBR4","Gerdau","7.036.000","18,68","-1,79%"
"GMAT3","Grupo Mateus","6.968.800","7,16","-2,98%"
"PETZ3","Petz","6.899.700","3,92","-3,92%"
"SOMA3","Grupo Soma","6.626.200","6,30","-1,72%"
"NTCO3","Natura","6.556.100","15,14","-4,60%"
"STBP3","Santos Brasil","6.428.000","14,41","-0,69%"
"CIEL3","Cielo","6.427.600","5,74","+0,00%"
"SBSP3","Sabesp","6.398.800","82,02","-1,42%"
"GOAU4","Metalúrgica Gerdau","6.343.600","10,99","-1,61%"
"CMIN3","CSN Mineração","6.207.000","5,21","-3,34%"
"JBSS3","JBS","6.205.200","31,45","-2,45%"
"JHSF3","JHSF","6.151.200","4,10","-3,07%"
"CCRO3","Grupo CCR","6.039.900","12,56","-2,94%"
"AMBP3","Ambipar","6.032.400","24,09","+0,38%"
"SUZB3","Suzano","5.803.500","53,88","-0,54%"
"CSNA3","Siderúrgica Nacional","5.770.900","12,64","-4,10%"
"PRIO3","PetroRio","5.685.900","45,47","-1,52%"
"QUAL3","Qualicorp","5.220.600","1,64","-8,38%"
"JFEN3","João Fortes","5.032.600","0,20","-13,04%"
"POMO4","Marcopolo","5.032.400","6,61","-3,78%"
"ALOS3","Allos","5.019.600","21,68","-3,17%"
"RDOR3","Rede D'Or","4.991.800","28,34","-2,88%"
"RADL3","RaiaDrogasil","4.889.300","25,66","+0,20%"
"RAPT4","Randon","4.836.000","11,87","-3,89%"
"EMBR3","Embraer","4.796.400","41,05","+1,48%"
"CPLE3","Copel","4.783.600","8,96","-1,97%"
"BHIA3","Casas Bahia","4.770.300","5,05","-2,51%"
"ANIM3","Ânima Educação","4.621.700","3,55","-5,08%"
"AZEV4","Azevedo & Travassos","4.572.400","1,63","-1,21%"
"CEAB3","C&A","4.546.600","9,22","-6,49%"
"ENEV3","Eneva","4.528.000","12,83","-1,91%"
"MOVI3","Movida","4.498.200","6,34","-5,79%"
"DXCO3","Dexco","4.365.700","6,80","-1,88%"
"ECOR3","EcoRodovias","4.330.300","7,10","-4,57%"
"BRAP4","Bradespar","4.213.800","18,92","-2,92%"
"GFSA3","Gafisa","4.038.900","3,52","-5,63%"
"BBDC3","Banco Bradesco","3.966.100","11,50","-1,88%"
"MLAS3","Multilaser","3.934.300","2,03","-4,69%"
"UGPA3","Ultrapar","3.926.400","22,57","-2,76%"
"MULT3","Multiplan","3.822.100","24,38","-2,75%"
"VIVA3","Vivara","3.794.800","22,85","-2,68%"
"SIMH3","Simpar","3.659.900","6,36","-6,19%"
"TRPL4","Transmissão Paulista","3.606.100","25,34","-2,76%"
"VBBR3","Vibra Energia","3.589.000","23,06","-1,07%"
"CXSE3","Caixa Seguridade","3.544.200","14,90","+0,95%"
"ZAMP3","Zamp","3.508.400","3,45","-3,09%"
"AESB3","AES Brasil","3.420.000","11,35","-0,44%"
"LJQQ3","Lojas Quero-Quero","3.399.600","4,16","-6,31%"
"TEND3","Construtora Tenda","3.381.800","12,26","-5,26%"
"RRRP3","3R Petroleum","3.373.500","27,29","-1,16%"
"BPAN4","Banco Pan","3.352.900","8,62","-2,38%"
"TIMS3","TIM","3.281.300","16,75","-1,70%"
"YDUQ3","YDUQS","3.219.600","11,51","-3,28%"
"DIRR3","Direcional","3.187.600","28,01","-1,13%"
"TOTS3","Totvs","3.152.900","28,04","-3,08%"
"CASH3","Méliuz","3.063.600","5,75","-8,15%"
"VVEO3","Viveo","3.011.500","2,32","-3,33%"
"OIBR3","Oi","2.959.300","4,64","-9,38%"
"TECN3","Technos","2.838.100","6,11","+0,66%"
"SLCE3","SLC Agrícola","2.810.000","19,31","-0,36%"
"FLRY3","Fleury","2.792.200","15,39","-1,35%"
"BBSE3","BB Seguridade","2.735.000","34,38","-0,26%"
"AURE3","Auren Energia","2.718.800","12,42","-0,16%"
"ONCO3","Oncoclínicas","2.630.800","7,04","-2,90%"
"POSI3","Positivo","2.552.300","7,44","-4,74%"
"NGRD3","Neogrid","2.491.700","1,12","-0,88%"
"CBAV3","CBA","2.481.300","6,81","-1,87%"
"GGPS3","GPS","2.466.100","16,98","-2,02%"
"INTB3","Intelbras","2.457.300","21,88","-2,63%"
"PSSA3","Porto Seguro","2.444.500","30,93","+0,26%"
"BRKM5","Braskem","2.408.500","18,41","-3,96%"
"GUAR3","Guararapes","2.370.200","7,14","-7,03%"
"CLSA3","ClearSale","2.354.400","7,13","-2,06%"
"ALPA4","Alpargatas","2.335.000","8,91","-3,99%"
"SAPR4","Sanepar","2.204.200","5,38","-1,82%"
"EZTC3","EZTEC","2.163.700","14,30","-2,59%"
"ODPV3","Odontoprev","2.156.700","11,79","-1,50%"
"ARZZ3","Arezzo","2.114.800","52,58","-2,45%"
"SMFT3","Smart Fit","2.102.400","22,30","-2,19%"
"RECV3","PetroRecôncavo","2.096.500","20,84","-2,02%"
"SRNA3","Serena Energia","2.072.300","8,92","-3,67%"
"HYPE3","Hypera","2.017.200","28,17","-2,12%"
